BGC ID,x,y
34964.assembled_unknown.cluster003,-7.643199365703257,-28.5355448419607
35127.assembled_unknown.cluster001,27.53642951225108,16.053255503013645
ARGM01000000_KB895287.1.cluster021,-13.724334480571075,2.6527527060362983
ARKU01000000_KB905497.1.cluster010,-15.738763534859714,-23.920973344159382
AZUS01000000_AZUS01000001.1.cluster040,2.420386047162009,14.41506527525683
35561.assembled_unknown.cluster035,-12.482780563363539,-30.48092589183671
ARHI01000000_KB904824.1.cluster034,17.373822346135597,30.71687587915754
ARKV01000000_KB905198.1.cluster018,31.28233599924515,18.178990419790132
35128.assembled_unknown.cluster040,-18.22688306723667,-28.675956035649957
ARKT01000000_KB900319.1.cluster027,-19.01787388113127,-25.84085963376192
AZWD01000000_KI911424.1.cluster002,-6.525817236436369,28.955934358149953
ARGJ01000000_KB895024.1.cluster007,-13.374593962550126,-29.62199725615885
37324.assembled_unknown.cluster025,-14.505339041136386,-24.752145950876997
35561.assembled_unknown.cluster026,19.364394235815826,13.089007030268174
AREQ01000000_KB892473.1.cluster041,30.173395575322125,-11.252204031145128
ARHF01000000_KB896529.1.cluster019,27.51455284353677,14.393984052393762
35121.assembled_unknown.cluster054,7.371565095312366,-28.62609197450543
ARGX01000000_KB895910.1.cluster026,-4.924422501587297,30.0572826171509
35121.assembled_unknown.cluster035,24.368123829370234,17.421002612426985
35133.assembled_unknown.cluster001,-16.741264593601173,-27.67634880407786
36410.assembled_unknown.cluster039,-21.105808417641306,-6.71517954978908
AZUS01000000_AZUS01000001.1.cluster060,-6.5851190516953535,0.464038581193734
ARHJ01000000_KB896760.1.cluster027,19.889234173791234,8.331208121094093
ARHR01000000_KB897363.1.cluster015,-1.9863691359949895,16.389441019585167
37242.assembled_unknown.cluster023,-16.43034447228509,-32.536568317015764
ARGJ01000000_KB895024.1.cluster028,-16.534205649391932,-17.19916426696954
AZWM01000001.1.cluster015,-23.108495997328387,11.518456831004533
AZWP01000001.1.cluster007,-22.395455800195517,7.667056901072392
35121.assembled_unknown.cluster015,-13.059595937324456,6.035065373313213
ARHB01000000_KB896240.1.cluster004,-16.403836635347727,-26.953401665524538
35127.assembled_unknown.cluster030,-19.40075551016131,-27.412667753867705
ARGI01000000_KB894900.1.cluster022,13.76819550844817,36.23901686725564
ARGG01000000_KB894848.1.cluster031,20.036086249479126,12.83230821313582
2515154186_c00001_B103DRA...cluster015,8.814396144325755,-6.231811454278536
ARKU01000000_KB905497.1.cluster025,-7.310021253660991,24.839019085734368
35132.assembled_unknown.cluster038,26.143899292050992,-11.702108241642009
ARJI01000000_KB898990.1.cluster046,10.211598515845338,-15.125637227692845
ARKT01000000_KB900319.1.cluster042,32.904491754933616,-8.376636973095389
